PM2.5,PM10,CO,O3,NH3,AQI,AQI_Category
32.78,118.45443537491555,6.08,13.13,23.84836627716501,174.0,Poor
53.5,118.45443537491555,12.0,5.48,23.84836627716501,252.0,Very Poor
48.24,118.45443537491555,10.91,5.98,23.84836627716501,283.0,Very Poor
63.27,118.45443537491555,8.82,8.68,23.84836627716501,282.0,Very Poor
40.43,118.45443537491555,7.42,5.0,23.84836627716501,189.0,Poor
31.15,118.45443537491555,8.91,12.97,23.84836627716501,204.0,Very Poor
33.76,118.45443537491555,9.15,8.36,23.84836627716501,207.0,Very Poor
35.95,118.45443537491555,10.05,8.61,23.84836627716501,218.0,Very Poor
58.07,118.45443537491555,10.51,19.87,23.84836627716501,243.0,Very Poor
46.04,118.45443537491555,9.72,10.35,23.84836627716501,219.0,Very Poor
52.27,118.45443537491555,10.79,9.14,23.84836627716501,247.0,Very Poor
46.68,118.45443537491555,10.08,15.97,23.84836627716501,235.0,Very Poor
44.59,118.45443537491555,10.47,11.2,23.84836627716501,234.0,Very Poor
30.81,118.45443537491555,9.36,15.72,23.84836627716501,217.0,Very Poor
47.67,118.45443537491555,9.63,18.89,23.84836627716501,222.0,Very Poor
35.69,118.45443537491555,9.38,14.63,23.84836627716501,241.0,Very Poor
36.44,118.45443537491555,9.59,14.99,23.84836627716501,225.0,Very Poor
33.83,118.45443537491555,10.14,13.9,23.84836627716501,241.0,Very Poor
34.23,118.45443537491555,10.17,13.79,23.84836627716501,237.0,Very Poor
52.15,118.45443537491555,10.7,14.67,23.84836627716501,251.0,Very Poor
35.99,118.45443537491555,9.91,18.16,23.84836627716501,220.0,Very Poor
37.93,118.45443537491555,9.75,15.42,23.84836627716501,221.0,Very Poor
31.94,118.45443537491555,9.5,14.27,23.84836627716501,226.0,Very Poor
18.04,118.45443537491555,7.3,19.0,23.84836627716501,208.0,Very Poor
27.9,118.45443537491555,9.52,21.74,23.84836627716501,190.0,Poor
36.51,118.45443537491555,10.07,22.56,23.84836627716501,250.0,Very Poor
55.71,118.45443537491555,11.17,21.14,23.84836627716501,280.0,Very Poor
57.01,118.45443537491555,13.68,20.81,23.84836627716501,306.0,Severe
53.94,118.45443537491555,10.01,24.79,23.84836627716501,249.0,Very Poor
49.34,118.45443537491555,9.75,26.39,23.84836627716501,213.0,Very Poor
67.47661343703459,118.45443537491555,2.3452669534931365,34.912885247265315,23.84836627716501,135.0,Poor
39.43,118.45443537491555,12.67,11.63,23.84836627716501,268.0,Very Poor
42.33,118.45443537491555,11.31,15.38,23.84836627716501,267.0,Very Poor
26.75,118.45443537491555,9.8,17.5,23.84836627716501,216.0,Very Poor
34.16,118.45443537491555,9.66,17.44,23.84836627716501,212.0,Very Poor
30.07,118.45443537491555,9.82,17.65,23.84836627716501,214.0,Very Poor
25.54,118.45443537491555,9.5,16.47,23.84836627716501,222.0,Very Poor
38.47,118.45443537491555,10.63,17.34,23.84836627716501,216.0,Very Poor
42.55,118.45443537491555,10.36,20.24,23.84836627716501,236.0,Very Poor
